Rank,Genre
1,pop
2,dance pop
3,pop rap
4,rap
5,post-teen pop
6,rock
7,tropical house
8,modern rock
9,trap music
10,dwn trap
11,southern hip hop
12,hip hop
13,r&b
14,latin
15,edm
16,pop rock
17,alternative rock
18,classic rock
19,neo mellow
20,mellow gold
21,album rock
22,alternative metal
23,post-grunge
24,indie rock
25,latin pop
26,indie r&b
27,tropical
28,folk-pop
29,indie pop
30,urban contemporary
31,soft rock
32,reggaeton
33,viral pop
34,nu metal
35,singer-songwriter
36,pop punk
37,permanent wave
38,hard rock
39,indietronica
40,indie folk
41,electro house
42,gangster rap
43,adult standards
44,contemporary country
45,underground hip hop
46,folk rock
47,indie poptimism
48,canadian pop
49,country
50,country road
51,rap metal
52,big room
53,rock en espanol
54,dirty south rap
55,hip pop
56,garage rock
57,chamber pop
58,latin hip hop
59,new wave pop
60,soul
61,grupera
62,house
63,neo soul
64,europop
65,stomp and holler
66,dance rock
67,funk rock
68,trap latino
69,roots rock
70,blues-rock
71,regional mexican
72,deep indie r&b
73,classic funk rock
74,synthpop
75,latin alternative
76,deep pop r&b
77,neo-psychedelic
78,quiet storm
79,new wave
80,alternative dance
81,banda
82,motown
83,vocal jazz
84,emo
85,modern country rock
86,rap rock
87,funk
88,norteno
89,progressive house
90,psychedelic rock
91,deep german hip hop
92,art rock
93,shimmer pop
94,progressive electro house
95,trap francais
96,metal
97,spanish pop
98,latin arena pop
99,indie anthem-folk
100,crunk
101,reggaeton flow
102,electronic
103,brill building pop
104,vapor soul
105,new rave
106,escape room
107,regional mexican pop
108,deep tropical house
109,teen pop
110,brostep
111,deep big room
112,francoton
113,punk
114,screamo
115,disco
116,new romantic
117,focus
118,jazz blues
119,electronic trap
120,new americana
121,german hip hop
122,sertanejo universitario
123,pop reggaeton
124,metalcore
125,metropopolis
126,modern blues
127,hardcore hip hop
128,swedish pop
129,folk
130,deep funk carioca
131,acoustic pop
132,southern rock
133,boy band
134,east coast hip hop
135,worship
136,lounge
137,freak folk
138,west coast rap
139,g funk
140,rock-and-roll
141,christian alternative rock
142,groove metal
143,talent show
144,soundtrack
145,ccm
146,soul blues
147,christian music
148,country rock
149,british blues
150,compositional ambient
151,indie psych-rock
152,piano rock
153,lo-fi
154,chillwave
155,swedish idol pop
156,ranchera
157,argentine rock
158,mpb
159,new jack swing
160,memphis soul
161,bass trap
162,dance-punk
163,detroit hip hop
164,k-pop
165,german pop
166,electric blues
167,vegas indie
168,redneck
169,deep dutch hip hop
170,easy listening
171,southern soul
172,indiecoustica
173,pagode
174,britpop
175,hollywood
176,protopunk
177,christian rock
178,deep german pop rock
179,underground pop rap
180,noise pop
181,cantautor
182,anthem worship
183,melodic metalcore
184,korean pop
185,outlaw country
186,italian arena pop
187,glam metal
188,deep underground hip hop
189,cumbia pop
190,grime
191,trip hop
192,italian pop
193,glam rock
194,moombahton
195,classical
196,alternative hip hop
197,scorecore
198,deep australian indie
199,deep groove house
200,deep pop edm
201,traditional country
202,dream pop
203,sertanejo
204,classify
205,chillhop
206,rockabilly
207,chicago soul
208,vapor twitch
209,funk metal
210,speed metal
211,australian dance
212,lift kit
213,tracestep
214,samba
215,british invasion
216,melancholia
217,romantic
218,mariachi
219,downtempo
220,swedish folk pop
221,catstep
222,symphonic rock
223,skate punk
224,grunge
225,disco house
226,progressive metal
227,lilith
228,hoerspiel
229,alt-indie rock
230,channel pop
231,cumbia
232,bubblegum pop
233,anti-folk
234,slow core
235,otacore
236,nu gaze
237,video game music
238,deep house
239,traditional folk
240,australian alternative rock
241,bossa nova
242,spanish rock
243,comic
244,progressive rock
245,pop emo
246,space rock
247,power metal
248,french pop
249,la indie
250,indie garage rock
251,madchester
252,complextro
253,nu jazz
254,deep latin hip hop
255,duranguense
256,mandopop
257,forro
258,danish pop
259,texas country
260,cool jazz
261,reggae fusion
262,french hip hop
263,deep danish pop
264,chamber psych
265,bolero
266,cabaret
267,deep cumbia sonidera
268,brazilian hip hop
269,taiwanese pop
270,bachata
271,turkish pop
272,dancehall
273,roots reggae
274,deep trap
275,minimal dub
276,trance
277,world worship
278,preverb
279,opm
280,jazz
281,minimal
282,salsa
283,nashville sound
284,post-punk
285,deep taiwanese pop
286,merseybeat
287,jam band
288,reggae
289,axe
290,c-pop
291,thrash metal
292,italian hip hop
293,industrial metal
294,bow pop
295,eurodance
296,finnish dance pop
297,chanson
298,alternative country
299,modern classical
300,alternative emo
301,bebop
302,swedish alternative rock
303,classic swedish pop
304,candy pop
305,swing
306,contemporary post-bop
307,jazz funk
308,nueva cancion
309,jazz fusion
310,show tunes
311,etherpop
312,pixie
313,turkish rock
314,power pop
315,industrial rock
316,uk post-punk
317,finnish pop
318,bubblegum dance
319,swedish indie rock
320,cantopop
321,post-screamo
322,punk blues
323,chilean rock
324,irish rock
325,merengue
326,filter house
327,brooklyn indie
328,progressive trance
329,country dawn
330,dutch pop
331,australian pop
332,deep new americana
333,norwegian indie
334,melodic death metal
335,vallenato
336,ninja
337,big beat
338,indonesian pop
339,tech house
340,spanish pop rock
341,deep euro house
342,deep swedish hip hop
343,fourth world
344,blues
345,german techno
346,sky room
347,cumbia villera
348,deep regional mexican
349,traditional blues
350,post-disco
351,wrestling
352,movie tunes
353,texas blues
354,anthem emo
355,french indietronica
356,uk funky
357,anime
358,a cappella
359,shiver pop
360,vocal house
361,pinoy alternative
362,rock gaucho
363,minimal techno
364,acid jazz
365,canadian indie
366,new age
367,swedish hip hop
368,danspunk
369,deep southern trap
370,hip house
371,experimental rock
372,soul jazz
373,post rock
374,microhouse
375,celtic rock
376,french rock
377,swedish eurodance
378,indie jazz
379,hard bop
380,dutch house
381,norwegian pop
382,progressive bluegrass
383,j-pop
384,deep chiptune
385,chillstep
386,progressive post-hardcore
387,big band
388,dutch hip hop
389,west coast trap
390,epicore
391,drill
392,dreamo
393,melodic hardcore
394,broadway
395,indie punk
396,operatic pop
397,deep funk
398,latin christian
399,turkish jazz
400,antiviral pop
401,neo classical metal
402,garage psych
403,stoner rock
404,stride
405,french indie pop
406,sheffield indie
407,post-hardcore
408,zapstep
409,country blues
410,industrial
411,noise rock
412,uplifting trance
413,country gospel
414,classic norwegian pop
415,deep swedish indie pop
416,ambient
417,indie rockism
418,electro
419,azontobeats
420,mexican indie
421,turntablism
422,christian hip hop
423,baroque
424,death metal
425,french reggae
426,canadian metal
427,aussietronica
428,swedish indie pop
429,deep melodic euro house
430,uk garage
431,german metal
432,memphis blues
433,gothic metal
434,brazilian gospel
435,future funk
436,swedish synthpop
437,electro swing
438,j-rock
439,smooth jazz
440,indonesian indie
441,louvor
442,electro latino
443,nu disco
444,japanese r&b
445,suomi rock
446,reggae rock
447,death core
448,vaporwave
449,chicago blues
450,latin jazz
451,groove room
452,ska
453,gauze pop
454,cowboy western
455,merengue urbano
456,drum and bass
457,experimental
458,flamenco
459,christian uplift
460,danish pop rock
461,lovers rock
